"","player_name","first_name_punc","last_name_punc","first_name_lower","last_name_lower","last_name_suffix","espn_link","espn_number","espn_id","first_season","last_season"
"1027","Maalik Wayns","Maalik","Wayns","maalik","wayns",NA,"6638/maalik-wayns",6638,"maalik-wayns",2013,2014
"1028","Slava Kravtsov","Slava","Kravtsov","slava","kravtsov",NA,"6636/slava-kravtsov",6636,"slava-kravtsov",2013,2014
"1029","Tony Wroten","Tony","Wroten","tony","wroten",NA,"6630/tony-wroten",6630,"tony-wroten",2013,2016
"1030","Ben Hansbrough","Ben","Hansbrough","ben","hansbrough",NA,"6657/ben-hansbrough",6657,"ben-hansbrough",2013,2013
"1031","Darius Miller","Darius","Miller","darius","miller",NA,"6610/darius-miller",6610,"darius-miller",2013,2019
"1032","Diante Garrett","Diante","Garrett","diante","garrett",NA,"6663/diante-garrett",6663,"diante-garrett",2013,2014
"1033","Festus Ezeli","Festus","Ezeli","festus","ezeli",NA,"6587/festus-ezeli",6587,"festus-ezeli",2013,2016
"1034","Henry Sims","Henry","Sims","henry","sims",NA,"6647/henry-sims",6647,"henry-sims",2013,2016
"1035","Jared Cunningham","Jared","Cunningham","jared","cunningham",NA,"6582/jared-cunningham",6582,"jared-cunningham",2013,2016
"1036","Josh Akognon","Josh","Akognon","josh","akognon",NA,"6656/josh-akognon",6656,"josh-akognon",2013,2013
"1037","Kent Bazemore","Kent","Bazemore","kent","bazemore",NA,"6637/kent-bazemore",6637,"kent-bazemore",2013,2019
"1038","Marquis Teague","Marquis","Teague","marquis","teague",NA,"6626/marquis-teague",6626,"marquis-teague",2013,2018
"1039","Perry Jones","Perry","Jones","perry","jones",NA,"6598/perry-jones",6598,"perry-jones",2013,2015
"1040","Robert Sacre","Robert","Sacre","robert","sacre",NA,"6620/robert-sacre",6620,"robert-sacre",2013,2016
"1041","Scott Machado","Scott","Machado","scott","machado",NA,"6644/scott-machado",6644,"scott-machado",2013,2019
"1042","Tornike Shengelia","Tornike","Shengelia","tornike","shengelia",NA,"6623/tornike-shengelia",6623,"tornike-shengelia",2013,2014
"1043","Tyshawn Taylor","Tyshawn","Taylor","tyshawn","taylor",NA,"6625/tyshawn-taylor",6625,"tyshawn-taylor",2013,2014
"1044","Darius Johnson-Odom","Darius","Johnson-Odom","darius","johnson-odom",NA,"6596/darius-johnson-odom",6596,"darius-johnson-odom",2013,2014
