player_name,bbref_link,bbref_id,sportsref_id,first_year,last_year
D.J. Stephens,s/stephdj01,stephdj01,dj-stephens-1,2014,2019
D.J. Strawberry,s/strawdj01,strawdj01,dj-strawberry-1,2008,2008
D.J. White,w/whitedj01,whitedj01,dj-white-1,2009,2014
D.J. Wilson,w/wilsodj01,wilsodj01,dj-wilson-1,2018,2019
D'Angelo Russell,r/russeda01,russeda01,dangelo-russell-1,2016,2019
Daequan Cook,c/cookda02,cookda02,daequan-cook-1,2008,2013
Dahntay Jones,j/jonesda02,jonesda02,dahntay-jones-1,2005,2017
Dairis Bertans,b/bertada02,bertada02,,2019,2019
DaJuan Summers,s/summeda01,summeda01,dajuan-summers-1,2010,2013
Dajuan Wagner,w/wagneda02,wagneda02,dajuan-wagner-1,2005,2007
Dakari Johnson,j/johnsda04,johnsda04,dakari-johnson-1,2018,2018
Dale Davis,d/davisda01,davisda01,dale-davis-1,2005,2007
Damian Jones,j/jonesda03,jonesda03,damian-jones-1,2017,2019
Damian Lillard,l/lillada01,lillada01,damian-lillard-1,2013,2019
Damien Inglis,i/inglida01,inglida01,,2016,2016
Damien Wilkins,w/wilkida02,wilkida02,damien-wilkins-1,2005,2018
Damion James,j/jamesda01,jamesda01,damion-james-1,2011,2014
Damion Lee,l/leeda03,leeda03,damion-lee-1,2018,2019
Damir Markota,m/markoda01,markoda01,,2007,2007
Damjan Rudez,r/rudezda01,rudezda01,damjan-rudez-1,2015,2017
Damon Jones,j/jonesda01,jonesda01,damon-jones-1,2005,2009
Damon Stoudamire,s/stoudda01,stoudda01,damon-stoudamire-1,2005,2008
Damone Brown,b/brownda02,brownda02,damone-brown-1,2005,2005
Damyean Dotson,d/dotsoda01,dotsoda01,damyean-dotson-1,2018,2019
Dan Dickau,d/dickada01,dickada01,dan-dickau-1,2005,2008
Dan Gadzuric,g/gadzuda01,gadzuda01,dan-gadzuric-1,2005,2012
Daniel Ewing,e/ewingda01,ewingda01,daniel-ewing-1,2006,2007
Daniel Gibson,g/gibsoda01,gibsoda01,daniel-gibson-1,2007,2013
